song_name,artist_name,album_name,thumbnail,link,queryname
Usseewa,Ado,Kyougen,https://i.scdn.co/image/ab67616d0000b27364381fb5ba549f149ae74560,https://www.youtube.com/watch?v=Qp3b-RXtz4w,Usseewa by Ado
"STORY (From ""Isekai Ojisan: Uncle from Another World"")",Miura Jam,"STORY (From ""Isekai Ojisan: Uncle from Another World"")",https://i.scdn.co/image/ab67616d0000b273c01e9614e048dc86e25081bd,https://www.youtube.com/watch?v=mhBbV-gRRx8,"STORY (From ""Isekai Ojisan: Uncle from Another World"") by Miura Jam"
Tot Musica,Ado,UTA'S SONGS ONE PIECE FILM RED,https://i.scdn.co/image/ab67616d0000b2730cbecafa929898c82adc519c,https://www.youtube.com/watch?v=V9_ZpqfqHFI,Tot Musica by Ado
"Tot Musica (From ""One Piece Film: Red"")",AmaLee,"Tot Musica (From ""One Piece Film: Red"")",https://i.scdn.co/image/ab67616d0000b273909bdf23444312ccc2fa3e15,https://www.youtube.com/watch?v=Q-JIVwhf2_4,"Tot Musica (From ""One Piece Film: Red"") by AmaLee"
No Lie,Sean Paul,Mad Love The Prequel,https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c,https://www.youtube.com/watch?v=GzU8KqOY8YA,No Lie by Sean Paul
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,https://www.youtube.com/watch?v=Uq9gPaIzbe8,Unholy (feat. Kim Petras) by Sam Smith
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,https://www.youtube.com/watch?v=kTJczUoc26U,STAY (with Justin Bieber) by The Kid LAROI
Payroll (feat. Kranium),RIKA,Payroll (feat. Kranium),https://i.scdn.co/image/ab67616d0000b2731032b1624d76a16ffdb86bc0,https://www.youtube.com/watch?v=0Kh83-TGWTU,Payroll (feat. Kranium) by RIKA
you were there for me,Henry Moodie,you were there for me,https://i.scdn.co/image/ab67616d0000b2730aac10d93a55e986a84a9ddf,https://www.youtube.com/watch?v=9fP2ucW2SN4,you were there for me by Henry Moodie
Let Me Down Slowly,Alec Benjamin,Narrated For You,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,https://www.youtube.com/watch?v=50VNCymT-Cs,Let Me Down Slowly by Alec Benjamin
As It Was,Harry Styles,As It Was,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,https://www.youtube.com/watch?v=H5v3kku4y6Q,As It Was by Harry Styles
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,https://www.youtube.com/watch?v=TUVcZfQe-Kw,Levitating (feat. DaBaby) by Dua Lipa
In My Blood,Shawn Mendes,Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273269423eb6467e308c0fbce24,https://www.youtube.com/watch?v=36tggrpRoTI,In My Blood by Shawn Mendes
My Head & My Heart,Ava Max,Heaven & Hell,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7,https://www.youtube.com/watch?v=w8mBplMtwJ8,My Head & My Heart by Ava Max
Break My Heart,Dua Lipa,Future Nostalgia,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,https://www.youtube.com/watch?v=Nj2U6rhnucI,Break My Heart by Dua Lipa
Infinity,Jaymes Young,Feel Something,https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f,https://www.youtube.com/watch?v=PWqEPKduGm8,Infinity by Jaymes Young
good 4 u,Olivia Rodrigo,Hits Rentrée 2021,https://i.scdn.co/image/ab67616d0000b273f210ceece76bf8606197b3b3,https://www.youtube.com/watch?v=gNi_6U5Pm_o,good 4 u by Olivia Rodrigo
abcdefu,GAYLE,abcdefu,https://i.scdn.co/image/ab67616d0000b2732842f743ebd32235bceb43d3,https://www.youtube.com/watch?v=NaFd8ucHLuo,abcdefu by GAYLE
Bad Liar,Imagine Dragons,Origins (Deluxe),https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,https://www.youtube.com/watch?v=I-QfPUz1es8,Bad Liar by Imagine Dragons
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),https://i.scdn.co/image/ab67616d0000b273ba26678947112dff3c3158bf,https://www.youtube.com/watch?v=UTHLKHL_whs,INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X
Woman Like Me (feat. Nicki Minaj),Little Mix,LM5 (Deluxe),https://i.scdn.co/image/ab67616d0000b27315174e2b2347b5ffbea6dbf0,https://www.youtube.com/watch?v=fSOpiZo1BAA,Woman Like Me (feat. Nicki Minaj) by Little Mix
Here With Me,Marshmello,Here With Me,https://i.scdn.co/image/ab67616d0000b2732cbb5f97a0853d1c7cbbe231,https://www.youtube.com/watch?v=NRmSf9VqrUA,Here With Me by Marshmello
More Than You Know,Axwell /\ Ingrosso,More Than You Know,https://i.scdn.co/image/ab67616d0000b273fba6de0b38b0168d480b1a27,https://www.youtube.com/watch?v=GsF05B8TFWg,More Than You Know by Axwell /\ Ingrosso
Arcade,Duncan Laurence,Small Town Boy,https://i.scdn.co/image/ab67616d0000b2731b55c3257d316d184d641800,https://www.youtube.com/watch?v=51u5fnyrGj4,Arcade by Duncan Laurence
Shivers,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://www.youtube.com/watch?v=Il0S8BoucSA,Shivers by Ed Sheeran
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557,https://www.youtube.com/watch?v=-RJSbO8UZVY,Youngblood by 5 Seconds of Summer
Physical,Dua Lipa,Future Nostalgia,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,https://www.youtube.com/watch?v=9HDEHj2yzew,Physical by Dua Lipa
hot girl bummer,blackbear,everything means nothing,https://i.scdn.co/image/ab67616d0000b273e9b6f26ff354f4d70847f02d,https://www.youtube.com/watch?v=5cPW0ggFq04,hot girl bummer by blackbear
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],https://i.scdn.co/image/ab67616d0000b27323852b7ef0ecfe29d38d97ee,https://www.youtube.com/watch?v=tt2k8PGm-TI,Dusk Till Dawn (feat. Sia) - Radio Edit by ZAYN
Bad Habits,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://www.youtube.com/watch?v=orJSJGHjBLI,Bad Habits by Ed Sheeran
ラヴァーズ,7!!,Anipps,https://i.scdn.co/image/ab67616d0000b2733dfa792536844032b9561aea,https://www.youtube.com/watch?v=MF8kHWWFO10,ラヴァーズ by 7!!
The Beginning,ONE OK ROCK,JINSEI KAKETE BOKU WA,https://i.scdn.co/image/ab67616d0000b273cff66b3375bbeb03c6c214a0,https://www.youtube.com/watch?v=Hh9yZWeTmVM,The Beginning by ONE OK ROCK
よふかしのうた,Creepy Nuts,よふかしのうた,https://i.scdn.co/image/ab67616d0000b273b1628bf435524206e5efa612,https://www.youtube.com/watch?v=F6_zbnfxoBA,よふかしのうた by Creepy Nuts
堕天,Creepy Nuts,堕天,https://i.scdn.co/image/ab67616d0000b27351c697da13ab218a493fb964,https://www.youtube.com/watch?v=LoO_AJD_KCc,堕天 by Creepy Nuts
ロスタイム,Creepy Nuts,アンサンブル・プレイ,https://i.scdn.co/image/ab67616d0000b27318285df0b7581a0fcc806afc,https://www.youtube.com/watch?v=O6WjVGEVbNc,ロスタイム by Creepy Nuts
